Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.71,0.915
2021,0.71,0.915
2022,0.71,0.915
2023,0.71,0.915
2024,0.71,0.915
2025,0.71,0.915
2026,0.71,0.915
2027,0.71,0.915
2028,0.71,0.915
2029,0.71,0.915
2030,0.71,0.915
2031,0.71,0.915
2032,0.71,0.915
2033,0.71,0.915
2034,0.71,0.915
2035,0.71,0.915
2036,0.71,0.915
2037,0.71,0.915
2038,0.71,0.915
2039,0.71,0.915
2040,0.6499999999999999,0.94
2041,0.6499999999999999,0.94
2042,0.6499999999999999,0.94
2043,0.6499999999999999,0.94
2044,0.6499999999999999,0.94
2045,0.6499999999999999,0.94
2046,0.6499999999999999,0.94
2047,0.6499999999999999,0.94
2048,0.6499999999999999,0.94
2049,0.6499999999999999,0.94
2050,0.6499999999999999,0.94
2051,0.6499999999999999,0.94
2052,0.6499999999999999,0.94
2053,0.6499999999999999,0.94
2054,0.6499999999999999,0.94
2055,0.6499999999999999,0.94
2056,0.6499999999999999,0.94
2057,0.6499999999999999,0.94
2058,0.6499999999999999,0.94
2059,0.6499999999999999,0.94
2060,0.6499999999999999,0.94
2061,0.6499999999999999,0.94
2062,0.6499999999999999,0.94
2063,0.6499999999999999,0.94
2064,0.6499999999999999,0.94
2065,0.6499999999999999,0.94
2066,0.6499999999999999,0.94
2067,0.6499999999999999,0.94
2068,0.6499999999999999,0.94
2069,0.6499999999999999,0.94
2070,0.6499999999999999,0.94
2071,0.6499999999999999,0.94
2072,0.6499999999999999,0.94
2073,0.6499999999999999,0.94
2074,0.6499999999999999,0.94
2075,0.6499999999999999,0.94
2076,0.6499999999999999,0.94
2077,0.6499999999999999,0.94
2078,0.6499999999999999,0.94
2079,0.6499999999999999,0.94
2080,0.6499999999999999,0.94
2081,0.6499999999999999,0.94
2082,0.6499999999999999,0.94
2083,0.6499999999999999,0.94
2084,0.6499999999999999,0.94
2085,0.6499999999999999,0.94
2086,0.6499999999999999,0.94
2087,0.6499999999999999,0.94
2088,0.6499999999999999,0.94
2089,0.6499999999999999,0.94
2090,0.6499999999999999,0.94
2091,0.6499999999999999,0.94
2092,0.6499999999999999,0.94
2093,0.6499999999999999,0.94
2094,0.6499999999999999,0.94
2095,0.6499999999999999,0.94
2096,0.6499999999999999,0.94
2097,0.6499999999999999,0.94
2098,0.6499999999999999,0.94
2099,0.6499999999999999,0.94
2100,0.6499999999999999,0.94
2101,0.6499999999999999,0.94
2102,0.6499999999999999,0.94
2103,0.6499999999999999,0.94
2104,0.6499999999999999,0.94
2105,0.6499999999999999,0.94
2106,0.6499999999999999,0.94
2107,0.6499999999999999,0.94
2108,0.6499999999999999,0.94
2109,0.6499999999999999,0.94
2110,0.6499999999999999,0.94
2111,0.6499999999999999,0.94
2112,0.6499999999999999,0.94
2113,0.6499999999999999,0.94
2114,0.6499999999999999,0.94
2115,0.6499999999999999,0.94
2116,0.6499999999999999,0.94
2117,0.6499999999999999,0.94
2118,0.6499999999999999,0.94
2119,0.6499999999999999,0.94
2120,0.6499999999999999,0.94
2121,0.6499999999999999,0.94
2122,0.6499999999999999,0.94
2123,0.6499999999999999,0.94
2124,0.6499999999999999,0.94
2125,0.6499999999999999,0.94
2126,0.6499999999999999,0.94
2127,0.6499999999999999,0.94
2128,0.6499999999999999,0.94
2129,0.6499999999999999,0.94
2130,0.6499999999999999,0.94
2131,0.6499999999999999,0.94
2132,0.6499999999999999,0.94
2133,0.6499999999999999,0.94
2134,0.6499999999999999,0.94
2135,0.6499999999999999,0.94
2136,0.6499999999999999,0.94
2137,0.6499999999999999,0.94
2138,0.6499999999999999,0.94
2139,0.6499999999999999,0.94
2140,0.6499999999999999,0.94
2141,0.6499999999999999,0.94
2142,0.6499999999999999,0.94
2143,0.6499999999999999,0.94
2144,0.6499999999999999,0.94
2145,0.6499999999999999,0.94
2146,0.6499999999999999,0.94
2147,0.6499999999999999,0.94
2148,0.6499999999999999,0.94
2149,0.6499999999999999,0.94
2150,0.6499999999999999,0.94
